No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;;;;;;;;;time 2;time 1;delay 1;delay 2;jiter
273;419.167.141;192.168.43.133;74.125.24.94;TCP;54;50517  >  443 [ACK] Seq=1 Ack=1 Win=66560 Len=0;;;;;;;;;;;;;;;419.209.038;419.167.141;41897;162516;120619
274;419.209.038;192.168.43.133;74.125.24.94;TLSv1.2;236;Client Hello;;;;;;;;;;;;;;;419.371.554;419.209.038;162516;197;162319
275;419.371.554;74.125.24.94;192.168.43.133;TCP;54;443  >  50517 [ACK] Seq=1 Ack=183 Win=21920 Len=0;;;;;;;;;;;;;;;419.371.751;419.371.554;197;180;17
276;419.371.751;74.125.24.94;192.168.43.133;TLSv1.2;1414;Server Hello;;;;;;;;;;;;;;;419.371.931;419.371.751;180;0;180
277;419.371.931;74.125.24.94;192.168.43.133;TLSv1.2;1414;Certificate [TCP segment of a reassembled PDU];;;;;;;;;;;;;;;419.371.931;419.371.931;0;99;99
278;419.371.931;74.125.24.94;192.168.43.133;TLSv1.2;163;Server Key Exchange, Server Hello Done;;;;;;;;;;;;;;;419.372.030;419.371.931;99;15355;15256
279;419.372.030;192.168.43.133;74.125.24.94;TCP;54;50517  >  443 [ACK] Seq=183 Ack=2830 Win=66560 Len=0;;;;;;;;;;;;;;;419.387.385;419.372.030;15355;44315;28960
280;419.387.385;192.168.43.133;74.125.24.94;TLSv1.2;147;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;419.431.700;419.387.385;44315;6585;37730
281;419.431.700;74.125.24.94;192.168.43.133;TCP;54;443  >  50517 [ACK] Seq=2830 Ack=276 Win=22016 Len=0;;;;;;;;;;;;;;;419.438.285;419.431.700;6585;37922;31337
282;419.438.285;74.125.24.94;192.168.43.133;TLSv1.2;346;New Session Ticket, Change Cipher Spec, Encrypted Handshake Message;;;;;;;;;;;;;;;419.476.207;419.438.285;37922;227;37695
283;419.476.207;192.168.43.133;74.125.24.94;TLSv1.2;661;Application Data;;;;;;;;;;;;;;;419.476.434;419.476.207;227;115650;115423
284;419.476.434;192.168.43.133;74.125.24.94;TLSv1.2;1278;Application Data;;;;;;;;;;;;;;;419.592.084;419.476.434;115650;0;115650
285;419.592.084;74.125.24.94;192.168.43.133;TCP;54;443  >  50517 [ACK] Seq=3122 Ack=883 Win=22624 Len=0;;;;;;;;;;;;;;;419.592.084;419.592.084;0;173485;173485
286;419.592.084;74.125.24.94;192.168.43.133;TCP;54;443  >  50517 [ACK] Seq=3122 Ack=2107 Win=23840 Len=0;;;;;;;;;;;;;;;419.765.569;419.592.084;173485;0;173485
287;419.765.569;74.125.24.94;192.168.43.133;TLSv1.2;1414;Application Data;;;;;;;;;;;;;;;419.765.569;419.765.569;0;266;266
288;419.765.569;74.125.24.94;192.168.43.133;TLSv1.2;451;Application Data, Application Data;;;;;;;;;;;;;;;419.765.835;419.765.569;266;166490;166224
289;419.765.835;192.168.43.133;74.125.24.94;TCP;54;50517  >  443 [ACK] Seq=2107 Ack=4879 Win=66560 Len=0;;;;;;;;;;;;;;;419.932.325;419.765.835;166490;16865;149625
290;419.932.325;192.168.43.133;172.217.194.188;TCP;55;[TCP Keep-Alive] 50352  >  5228 [ACK] Seq=1 Ack=1 Win=257 Len=1;;;;;;;;;;;;;;;419.949.190;419.932.325;16865;26237;9372
291;419.949.190;192.168.43.133;74.125.24.94;TCP;54;50517  >  443 [RST, ACK] Seq=2107 Ack=4879 Win=0 Len=0;;;;;;;;;;;;;;;419.975.427;419.949.190;26237;1113383;1087146
292;419.975.427;172.217.194.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  50352 [ACK] Seq=1 Ack=2 Win=706 Len=0;;;;;;;;;;;;;;;421.088.810;419.975.427;1113383;89767;1023616
293;421.088.810;192.168.43.133;3.235.82.191;TLSv1.2;271;Application Data;;;;;;;;;;;;;;;421.178.577;421.088.810;89767;254631;164864
294;421.178.577;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=2731 Ack=3556 Win=6669 Len=0;;;;;;;;;;;;;;;421.433.208;421.178.577;254631;45811;208820
295;421.433.208;3.235.82.191;192.168.43.133;TLSv1.2;249;Application Data;;;;;;;;;;;;;;;421.479.019;421.433.208;45811;20784722;20738911
296;421.479.019;192.168.43.133;3.235.82.191;TCP;54;49832  >  443 [ACK] Seq=3556 Ack=2926 Win=260 Len=0;;;;;;;;;;;;;;;442.263.741;421.479.019;20784722;147801;20636921
299;442.263.741;192.168.43.133;74.125.130.188;TCP;55;[TCP Keep-Alive] 49788  >  5228 [ACK] Seq=1 Ack=1 Win=255 Len=1;;;;;;;;;;;;;;;442.411.542;442.263.741;147801;8758393;8610592
300;442.411.542;74.125.130.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  49788 [ACK] Seq=1 Ack=2 Win=757 Len=0;;;;;;;;;;;;;;;451.169.935;442.411.542;8758393;150904;8607489
301;451.169.935;192.168.43.133;3.235.82.191;TLSv1.2;271;Application Data;;;;;;;;;;;;;;;451.320.839;451.169.935;150904;204713;53809
302;451.320.839;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=2926 Ack=3773 Win=6676 Len=0;;;;;;;;;;;;;;;451.525.552;451.320.839;204713;50191;154522
303;451.525.552;3.235.82.191;192.168.43.133;TLSv1.2;249;Application Data;;;;;;;;;;;;;;;451.575.743;451.525.552;50191;3312793;3262602
304;451.575.743;192.168.43.133;3.235.82.191;TCP;54;49832  >  443 [ACK] Seq=3773 Ack=3121 Win=259 Len=0;;;;;;;;;;;;;;;454.888.536;451.575.743;3312793;118513;3194280
305;454.888.536;192.168.43.133;3.235.82.191;TLSv1.2;84;Application Data;;;;;;;;;;;;;;;455.007.049;454.888.536;118513;9982463;9863950
306;455.007.049;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=3121 Ack=3803 Win=6677 Len=0;;;;;;;;;;;;;;;464.989.512;455.007.049;9982463;62241;9920222
378;464.989.512;192.168.43.133;172.217.194.188;TCP;55;[TCP Keep-Alive] 50352  >  5228 [ACK] Seq=1 Ack=1 Win=257 Len=1;;;;;;;;;;;;;;;465.051.753;464.989.512;62241;16197538;16135297
379;465.051.753;172.217.194.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  50352 [ACK] Seq=1 Ack=2 Win=706 Len=0;;;;;;;;;;;;;;;481.249.291;465.051.753;16197538;177835;16019703
386;481.249.291;192.168.43.133;3.235.82.191;TLSv1.2;271;Application Data;;;;;;;;;;;;;;;481.427.126;481.249.291;177835;204642;26807
387;481.427.126;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=3121 Ack=4020 Win=6684 Len=0;;;;;;;;;;;;;;;481.631.768;481.427.126;204642;54854;149788
388;481.631.768;3.235.82.191;192.168.43.133;TLSv1.2;249;Application Data;;;;;;;;;;;;;;;481.686.622;481.631.768;54854;1640573;1585719
389;481.686.622;192.168.43.133;3.235.82.191;TCP;54;49832  >  443 [ACK] Seq=4020 Ack=3316 Win=258 Len=0;;;;;;;;;;;;;;;483.327.195;481.686.622;1640573;147779;1492794
390;483.327.195;192.168.43.133;3.235.72.248;TLSv1.2;89;Application Data;;;;;;;;;;;;;;;483.474.974;483.327.195;147779;204912;57133
391;483.474.974;3.235.72.248;192.168.43.133;TCP;54;443  >  49828 [ACK] Seq=94 Ack=141 Win=918 Len=0;;;;;;;;;;;;;;;483.679.886;483.474.974;204912;53326;151586
392;483.679.886;3.235.72.248;192.168.43.133;TLSv1.2;85;Application Data;;;;;;;;;;;;;;;483.733.212;483.679.886;53326;3687741;3634415
393;483.733.212;192.168.43.133;3.235.72.248;TCP;54;49828  >  443 [ACK] Seq=141 Ack=125 Win=255 Len=0;;;;;;;;;;;;;;;487.420.953;483.733.212;3687741;51082;3636659
403;487.420.953;192.168.43.133;74.125.130.188;TCP;55;[TCP Keep-Alive] 49788  >  5228 [ACK] Seq=1 Ack=1 Win=255 Len=1;;;;;;;;;;;;;;;487.472.035;487.420.953;51082;6059769;6008687
404;487.472.035;74.125.130.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  49788 [ACK] Seq=1 Ack=2 Win=757 Len=0;;;;;;;;;;;;;;;493.531.804;487.472.035;6059769;81056;5978713
409;493.531.804;192.168.43.133;40.90.189.152;TLSv1.2;157;Application Data;;;;;;;;;;;;;;;493.612.860;493.531.804;81056;0;81056
410;493.612.860;40.90.189.152;192.168.43.133;TCP;54;443  >  49755 [ACK] Seq=347 Ack=310 Win=1110 Len=0;;;;;;;;;;;;;;;493.612.860;493.612.860;0;42075;42075
411;493.612.860;40.90.189.152;192.168.43.133;TLSv1.2;227;Application Data;;;;;;;;;;;;;;;493.654.935;493.612.860;42075;6296804;6254729
412;493.654.935;192.168.43.133;40.90.189.152;TCP;54;49755  >  443 [ACK] Seq=310 Ack=520 Win=256 Len=0;;;;;;;;;;;;;;;499.951.739;493.654.935;6296804;112550;6184254
414;499.951.739;192.168.43.133;3.235.82.191;TLSv1.2;84;Application Data;;;;;;;;;;;;;;;500.064.289;499.951.739;112550;9996161;9883611
415;500.064.289;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=3316 Ack=4050 Win=6685 Len=0;;;;;;;;;;;;;;;510.060.450;500.064.289;9996161;141294;9854867
416;510.060.450;192.168.43.133;172.217.194.188;TCP;55;[TCP Keep-Alive] 50352  >  5228 [ACK] Seq=1 Ack=1 Win=257 Len=1;;;;;;;;;;;;;;;510.201.744;510.060.450;141294;1124484;983190
417;510.201.744;172.217.194.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  50352 [ACK] Seq=1 Ack=2 Win=706 Len=0;;;;;;;;;;;;;;;511.326.228;510.201.744;1124484;104595;1019889
418;511.326.228;192.168.43.133;3.235.82.191;TLSv1.2;271;Application Data;;;;;;;;;;;;;;;511.430.823;511.326.228;104595;307186;202591
419;511.430.823;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=3316 Ack=4267 Win=6691 Len=0;;;;;;;;;;;;;;;511.738.009;511.430.823;307186;41118;266068
420;511.738.009;3.235.82.191;192.168.43.133;TLSv1.2;249;Application Data;;;;;;;;;;;;;;;511.779.127;511.738.009;41118;20697753;20656635
421;511.779.127;192.168.43.133;3.235.82.191;TCP;54;49832  >  443 [ACK] Seq=4267 Ack=3511 Win=260 Len=0;;;;;;;;;;;;;;;532.476.880;511.779.127;20697753;151277;20546476
424;532.476.880;192.168.43.133;74.125.130.188;TCP;55;[TCP Keep-Alive] 49788  >  5228 [ACK] Seq=1 Ack=1 Win=255 Len=1;;;;;;;;;;;;;;;532.628.157;532.476.880;151277;8770210;8618933
425;532.628.157;74.125.130.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  49788 [ACK] Seq=1 Ack=2 Win=757 Len=0;;;;;;;;;;;;;;;541.398.367;532.628.157;8770210;139017;8631193
426;541.398.367;192.168.43.133;3.235.82.191;TLSv1.2;271;Application Data;;;;;;;;;;;;;;;541.537.384;541.398.367;139017;204249;65232
427;541.537.384;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=3511 Ack=4484 Win=6698 Len=0;;;;;;;;;;;;;;;541.741.633;541.537.384;204249;47254;156995
428;541.741.633;3.235.82.191;192.168.43.133;TLSv1.2;249;Application Data;;;;;;;;;;;;;;;541.788.887;541.741.633;47254;3218844;3171590
429;541.788.887;192.168.43.133;3.235.82.191;TCP;54;49832  >  443 [ACK] Seq=4484 Ack=3706 Win=259 Len=0;;;;;;;;;;;;;;;545.007.731;541.788.887;3218844;113469;3105375
430;545.007.731;192.168.43.133;3.235.82.191;TLSv1.2;84;Application Data;;;;;;;;;;;;;;;545.121.200;545.007.731;113469;10089128;9975659
431;545.121.200;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=3706 Ack=4514 Win=6699 Len=0;;;;;;;;;;;;;;;555.210.328;545.121.200;10089128;150949;9938179
434;555.210.328;192.168.43.133;172.217.194.188;TCP;55;[TCP Keep-Alive] 50352  >  5228 [ACK] Seq=1 Ack=1 Win=257 Len=1;;;;;;;;;;;;;;;555.361.277;555.210.328;150949;16114444;15963495
435;555.361.277;172.217.194.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  50352 [ACK] Seq=1 Ack=2 Win=706 Len=0;;;;;;;;;;;;;;;571.475.721;555.361.277;16114444;167481;15946963
436;571.475.721;192.168.43.133;3.235.82.191;TLSv1.2;271;Application Data;;;;;;;;;;;;;;;571.643.202;571.475.721;167481;205053;37572
437;571.643.202;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=3706 Ack=4731 Win=6706 Len=0;;;;;;;;;;;;;;;571.848.255;571.643.202;205053;48998;156055
438;571.848.255;3.235.82.191;192.168.43.133;TLSv1.2;249;Application Data;;;;;;;;;;;;;;;571.897.253;571.848.255;48998;5734443;5685445
439;571.897.253;192.168.43.133;3.235.82.191;TCP;54;49832  >  443 [ACK] Seq=4731 Ack=3901 Win=258 Len=0;;;;;;;;;;;;;;;577.631.696;571.897.253;5734443;52470;5681973
442;577.631.696;192.168.43.133;74.125.130.188;TCP;55;[TCP Keep-Alive] 49788  >  5228 [ACK] Seq=1 Ack=1 Win=255 Len=1;;;;;;;;;;;;;;;577.684.166;577.631.696;52470;12384776;12332306
443;577.684.166;74.125.130.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  49788 [ACK] Seq=1 Ack=2 Win=757 Len=0;;;;;;;;;;;;;;;590.068.942;577.684.166;12384776;109484;12275292
444;590.068.942;192.168.43.133;3.235.82.191;TLSv1.2;84;Application Data;;;;;;;;;;;;;;;590.178.426;590.068.942;109484;10197593;10088109
445;590.178.426;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=3901 Ack=4761 Win=6707 Len=0;;;;;;;;;;;;;;;600.376.019;590.178.426;10197593;144629;10052964
446;600.376.019;192.168.43.133;172.217.194.188;TCP;55;[TCP Keep-Alive] 50352  >  5228 [ACK] Seq=1 Ack=1 Win=257 Len=1;;;;;;;;;;;;;;;600.520.648;600.376.019;144629;1043264;898635
447;600.520.648;172.217.194.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  50352 [ACK] Seq=1 Ack=2 Win=706 Len=0;;;;;;;;;;;;;;;601.563.912;600.520.648;1043264;185498;857766
448;601.563.912;192.168.43.133;3.235.82.191;TLSv1.2;271;Application Data;;;;;;;;;;;;;;;601.749.410;601.563.912;185498;204898;19400
449;601.749.410;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=3901 Ack=4978 Win=6714 Len=0;;;;;;;;;;;;;;;601.954.308;601.749.410;204898;46640;158258
450;601.954.308;3.235.82.191;192.168.43.133;TLSv1.2;249;Application Data;;;;;;;;;;;;;;;602.000.948;601.954.308;46640;16831987;16785347
451;602.000.948;192.168.43.133;3.235.82.191;TCP;54;49832  >  443 [ACK] Seq=4978 Ack=4096 Win=260 Len=0;;;;;;;;;;;;;;;618.832.935;602.000.948;16831987;120122;16711865
473;618.832.935;192.168.43.133;3.235.72.248;TLSv1.2;89;Application Data;;;;;;;;;;;;;;;618.953.057;618.832.935;120122;204877;84755
474;618.953.057;3.235.72.248;192.168.43.133;TCP;54;443  >  49828 [ACK] Seq=125 Ack=176 Win=919 Len=0;;;;;;;;;;;;;;;619.157.934;618.953.057;204877;49908;154969
475;619.157.934;3.235.72.248;192.168.43.133;TLSv1.2;85;Application Data;;;;;;;;;;;;;;;619.207.842;619.157.934;49908;3479273;3429365
476;619.207.842;192.168.43.133;3.235.72.248;TCP;54;49828  >  443 [ACK] Seq=176 Ack=156 Win=255 Len=0;;;;;;;;;;;;;;;622.687.115;619.207.842;3479273;157102;3322171
477;622.687.115;192.168.43.133;74.125.130.188;TCP;55;[TCP Keep-Alive] 49788  >  5228 [ACK] Seq=1 Ack=1 Win=255 Len=1;;;;;;;;;;;;;;;622.844.217;622.687.115;157102;8795681;8638579
478;622.844.217;74.125.130.188;192.168.43.133;TCP;54;[TCP Keep-Alive ACK] 5228  >  49788 [ACK] Seq=1 Ack=2 Win=757 Len=0;;;;;;;;;;;;;;;631.639.898;622.844.217;8795681;113497;8682184
481;631.639.898;192.168.43.133;3.235.82.191;TLSv1.2;271;Application Data;;;;;;;;;;;;;;;631.753.395;631.639.898;113497;306972;193475
482;631.753.395;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=4096 Ack=5195 Win=6720 Len=0;;;;;;;;;;;;;;;632.060.367;631.753.395;306972;48528;258444
483;632.060.367;3.235.82.191;192.168.43.133;TLSv1.2;249;Application Data;;;;;;;;;;;;;;;632.108.895;632.060.367;48528;3030857;2982329
484;632.108.895;192.168.43.133;3.235.82.191;TCP;54;49832  >  443 [ACK] Seq=5195 Ack=4291 Win=259 Len=0;;;;;;;;;;;;;;;635.139.752;632.108.895;3030857;94995;2935862
485;635.139.752;192.168.43.133;3.235.82.191;TLSv1.2;84;Application Data;;;;;;;;;;;;;;;635.234.747;635.139.752;94995;7577334;7482339
486;635.234.747;3.235.82.191;192.168.43.133;TCP;54;443  >  49832 [ACK] Seq=4291 Ack=5225 Win=6721 Len=0;;;;;;;;;;;;;;;642.812.081;635.234.747;7577334;102964;7474370
489;642.812.081;192.168.43.133;172.217.194.188;TLSv1.2;80;Application Data;;;;;;;;;;;;;;;642.915.045;642.812.081;102964;0;102964
490;642.915.045;172.217.194.188;192.168.43.133;TCP;54;5228  >  50352 [ACK] Seq=1 Ack=28 Win=706 Len=0;;;;;;;;;;;;;;;642.915.045;642.915.045;0;52356;52356
491;642.915.045;172.217.194.188;192.168.43.133;TLSv1.2;80;Application Data;;;;;;;;;;;;;;;642.967.401;642.915.045;52356;;52356
492;642.967.401;192.168.43.133;172.217.194.188;TCP;54;50352  >  5228 [ACK] Seq=28 Ack=27 Win=257 Len=0;;;;;;;;;;;;;;;;tot delay;638717233;tol jitter;1232598884
;;;;;;;;;;;;;;;;;;;;;;rat delay;1298205,758;rat jitter;4192513,211
